YEAR,CAN_ESM2|45 PPMEAN,CESM1_BGC|45 PPMEAN,GFDL_ESM2G|45 PPMEAN,GFDL_ESM2M|45 PPMEAN,HADGEM2_CC|45 PPMEAN,HADGEM2_ES|45 PPMEAN,IPSL_CM5A_LR|45 PPMEAN,IPSL_CM5A_MR|45 PPMEAN,IPSL_CM5B_LR|45 PPMEAN,MIROC_ESM|45 PPMEAN,MPI_ESM_LR|45 PPMEAN,MPI_ESM_MR|45 PPMEAN,NORESM1|45 PPMEAN
2040,592.744751,420.9536133,476.9440002,593.9058228,159.5275116,152.8909912,254.5864716,227.4405975,172.4044952,107.7035217,196.9512634,154.157135,318.2055969
2041,588.4315186,443.6329041,461.9434204,619.2279053,141.1580353,171.2535858,245.5994568,239.6979828,181.6420898,103.0237503,190.0233002,147.7618256,310.0109558
2042,567.633606,416.6812744,460.6146851,629.7440186,147.7948151,183.4158783,239.4431305,253.9531097,161.8426819,108.5941772,194.4740906,177.0254211,310.4327087
2043,590.3486938,457.8826904,451.9366455,623.5249634,160.0766296,145.1061401,241.2244263,256.0582581,160.5216675,107.1997299,204.9174652,156.9893341,315.0522461
2044,553.9301147,433.1645813,454.2728882,628.5737305,165.1126556,152.0629425,236.3634796,236.1332855,142.5413666,110.4825974,188.7611694,167.8774109,311.8554993
2045,590.6595459,462.3175354,447.2366638,621.4267578,164.62146,178.8257751,225.7767944,213.3749237,163.3477173,107.6531143,186.2654724,161.9995728,353.0160522
2046,526.1762695,450.1356812,451.4076843,635.6757813,185.7310028,173.4335785,228.5721436,229.1081696,183.9096985,102.9066849,185.5436249,170.2006989,276.565918
2047,497.053833,413.8756714,426.1666565,618.8060303,184.5256958,188.4781952,227.559021,223.4484406,180.9607239,107.0234604,179.2368774,172.1718903,307.0750427
2048,511.6685181,414.0789185,437.2811279,636.2287598,194.7779694,167.9746094,240.0693665,239.7627869,170.2239075,106.8132935,191.5263519,157.6884003,323.9164734
2049,526.1452637,423.2793274,431.7071533,633.5757446,194.0859375,163.064209,227.5872192,236.6759644,160.5022888,106.9140701,176.8401489,162.9785767,301.5204163
2050,538.4517212,438.0704956,426.2353821,600.0733032,169.1408539,165.4485931,232.4111176,242.7330475,163.7818909,105.5578308,175.2661591,173.4275665,314.6780701
2051,521.7467041,425.5781555,427.390686,595.2904663,175.5686646,150.4862213,258.1297913,247.220993,169.4835968,101.0656509,193.2486572,149.8310394,306.0274048
2052,563.9724731,431.1951599,435.8937378,622.0046387,173.2546844,135.6356506,227.0351257,247.0097656,177.0646057,102.8358917,192.9849854,149.9783936,332.684967
2053,588.8219604,417.9059143,434.172821,614.9200439,171.1116943,129.4511871,225.6672821,231.1625671,182.5324402,109.0908203,203.5754089,149.3062897,307.1581726
